Course System No.,Section,Selected Student No.,The No. of applicants,Limited class size
10.009,A,20200019,23,20
10.009,A,20200315,23,20
10.009,A,20200323,23,20
10.009,A,20210011,23,20
10.009,A,20210083,23,20
10.009,A,20210087,23,20
10.009,A,20210091,23,20
10.009,A,20210116,23,20
10.009,A,20210148,23,20
10.009,A,20210174,23,20
10.009,A,20210233,23,20
10.009,A,20210239,23,20
10.009,A,20210244,23,20
10.009,A,20210292,23,20
10.009,A,20210301,23,20
10.009,A,20210588,23,20
10.009,A,20210653,23,20
10.009,A,20210682,23,20
10.009,A,20210683,23,20
10.009,A,20210695,23,20
10.009,C,20180648,22,20
10.009,C,20200104,22,20
10.009,C,20200214,22,20
10.009,C,20210006,22,20
10.009,C,20210061,22,20
10.009,C,20210084,22,20
10.009,C,20210152,22,20
10.009,C,20210162,22,20
10.009,C,20210169,22,20
10.009,C,20210170,22,20
10.009,C,20210171,22,20
10.009,C,20210211,22,20
10.009,C,20210272,22,20
10.009,C,20210283,22,20
10.009,C,20210310,22,20
10.009,C,20210383,22,20
10.009,C,20210402,22,20
10.009,C,20210447,22,20
10.009,C,20210490,22,20
10.009,C,20210596,22,20
10.009,E,20200142,26,20
10.009,E,20200303,26,20
10.009,E,20200642,26,20
10.009,E,20210047,26,20
10.009,E,20210121,26,20
10.009,E,20210122,26,20
10.009,E,20210125,26,20
10.009,E,20210205,26,20
10.009,E,20210271,26,20
10.009,E,20210364,26,20
10.009,E,20210375,26,20
10.009,E,20210386,26,20
10.009,E,20210413,26,20
10.009,E,20210541,26,20
10.009,E,20210544,26,20
10.009,E,20210563,26,20
10.009,E,20210567,26,20
10.009,E,20210623,26,20
10.009,E,20210641,26,20
10.009,E,20210652,26,20
10.009,G,20200154,27,20
10.009,G,20210029,27,20
10.009,G,20210032,27,20
10.009,G,20210050,27,20
10.009,G,20210079,27,20
10.009,G,20210104,27,20
10.009,G,20210141,27,20
10.009,G,20210168,27,20
10.009,G,20210190,27,20
10.009,G,20210267,27,20
10.009,G,20210328,27,20
10.009,G,20210332,27,20
10.009,G,20210407,27,20
10.009,G,20210466,27,20
10.009,G,20210467,27,20
10.009,G,20210475,27,20
10.009,G,20210504,27,20
10.009,G,20210609,27,20
10.009,G,20210684,27,20
10.009,G,20210702,27,20
10.009,H,20210010,21,20
10.009,H,20210040,21,20
10.009,H,20210110,21,20
10.009,H,20210115,21,20
10.009,H,20210149,21,20
10.009,H,20210196,21,20
10.009,H,20210200,21,20
10.009,H,20210297,21,20
10.009,H,20210330,21,20
10.009,H,20210440,21,20
10.009,H,20210452,21,20
10.009,H,20210455,21,20
10.009,H,20210495,21,20
10.009,H,20210506,21,20
10.009,H,20210510,21,20
10.009,H,20210518,21,20
10.009,H,20210524,21,20
10.009,H,20210549,21,20
10.009,H,20210550,21,20
10.009,H,20210589,21,20
10.009,I,20130199,43,20
10.009,I,20200441,43,20
10.009,I,20210053,43,20
10.009,I,20210123,43,20
10.009,I,20210166,43,20
10.009,I,20210172,43,20
10.009,I,20210192,43,20
10.009,I,20210229,43,20
10.009,I,20210268,43,20
10.009,I,20210282,43,20
10.009,I,20210384,43,20
10.009,I,20210395,43,20
10.009,I,20210457,43,20
10.009,I,20210501,43,20
10.009,I,20210551,43,20
10.009,I,20210570,43,20
10.009,I,20210591,43,20
10.009,I,20210605,43,20
10.009,I,20210658,43,20
10.009,I,20210665,43,20
10.009,J,20200010,31,20
10.009,J,20200044,31,20
10.009,J,20200124,31,20
10.009,J,20210008,31,20
10.009,J,20210020,31,20
10.009,J,20210068,31,20
10.009,J,20210095,31,20
10.009,J,20210138,31,20
10.009,J,20210203,31,20
10.009,J,20210236,31,20
10.009,J,20210237,31,20
10.009,J,20210242,31,20
10.009,J,20210389,31,20
10.009,J,20210446,31,20
10.009,J,20210514,31,20
10.009,J,20210537,31,20
10.009,J,20210594,31,20
10.009,J,20210610,31,20
10.009,J,20210637,31,20
10.009,J,20210717,31,20
10.009,K,20200090,23,20
10.009,K,20200492,23,20
10.009,K,20200550,23,20
10.009,K,20210048,23,20
10.009,K,20210055,23,20
10.009,K,20210074,23,20
10.009,K,20210124,23,20
10.009,K,20210137,23,20
10.009,K,20210175,23,20
10.009,K,20210182,23,20
10.009,K,20210188,23,20
10.009,K,20210191,23,20
10.009,K,20210214,23,20
10.009,K,20210294,23,20
10.009,K,20210356,23,20
10.009,K,20210464,23,20
10.009,K,20210472,23,20
10.009,K,20210516,23,20
10.009,K,20210580,23,20
10.009,K,20210618,23,20
10.022,A,20200007,92,20
10.022,A,20200083,92,20
10.022,A,20200105,92,20
10.022,A,20200146,92,20
10.022,A,20200231,92,20
10.022,A,20200235,92,20
10.022,A,20200267,92,20
10.022,A,20200539,92,20
10.022,A,20200562,92,20
10.022,A,20200578,92,20
10.022,A,20200608,92,20
10.022,A,20200655,92,20
10.022,A,20200815,92,20
10.022,A,20210104,92,20
10.022,A,20210167,92,20
10.022,A,20210532,92,20
10.022,A,20210582,92,20
10.022,A,20210599,92,20
10.022,A,20210625,92,20
10.022,A,20210666,92,20
10.022,B,20200032,35,20
10.022,B,20200134,35,20
10.022,B,20200545,35,20
10.022,B,20210039,35,20
10.022,B,20210071,35,20
10.022,B,20210073,35,20
10.022,B,20210179,35,20
10.022,B,20210208,35,20
10.022,B,20210209,35,20
10.022,B,20210216,35,20
10.022,B,20210218,35,20
10.022,B,20210231,35,20
10.022,B,20210238,35,20
10.022,B,20210392,35,20
10.022,B,20210429,35,20
10.022,B,20210436,35,20
10.022,B,20210465,35,20
10.022,B,20210471,35,20
10.022,B,20210512,35,20
10.022,B,20210583,35,20
10.022,C,20200054,61,20
10.022,C,20200082,61,20
10.022,C,20200155,61,20
10.022,C,20200237,61,20
10.022,C,20200493,61,20
10.022,C,20200581,61,20
10.022,C,20210035,61,20
10.022,C,20210041,61,20
10.022,C,20210043,61,20
10.022,C,20210080,61,20
10.022,C,20210108,61,20
10.022,C,20210118,61,20
10.022,C,20210319,61,20
10.022,C,20210330,61,20
10.022,C,20210340,61,20
10.022,C,20210506,61,20
10.022,C,20210526,61,20
10.022,C,20210548,61,20
10.022,C,20210679,61,20
10.022,C,20210734,61,20
10.022,D,20200019,27,20
10.022,D,20200044,27,20
10.022,D,20200111,27,20
10.022,D,20200123,27,20
10.022,D,20200258,27,20
10.022,D,20200344,27,20
10.022,D,20200547,27,20
10.022,D,20200592,27,20
10.022,D,20210042,27,20
10.022,D,20210103,27,20
10.022,D,20210109,27,20
10.022,D,20210191,27,20
10.022,D,20210491,27,20
10.022,D,20210538,27,20
10.022,D,20210624,27,20
10.022,D,20210628,27,20
10.022,D,20210645,27,20
10.022,D,20210650,27,20
10.022,D,20210659,27,20
10.022,D,20210677,27,20
10.022,E,20200192,49,20
10.022,E,20200281,49,20
10.022,E,20200357,49,20
10.022,E,20200466,49,20
10.022,E,20200564,49,20
10.022,E,20200739,49,20
10.022,E,20210002,49,20
10.022,E,20210010,49,20
10.022,E,20210034,49,20
10.022,E,20210098,49,20
10.022,E,20210112,49,20
10.022,E,20210199,49,20
10.022,E,20210211,49,20
10.022,E,20210270,49,20
10.022,E,20210400,49,20
10.022,E,20210488,49,20
10.022,E,20210534,49,20
10.022,E,20210581,49,20
10.022,E,20210584,49,20
10.022,E,20210613,49,20
10.023,B,20200074,50,20
10.023,B,20200083,50,20
10.023,B,20200152,50,20
10.023,B,20200238,50,20
10.023,B,20200246,50,20
10.023,B,20200259,50,20
10.023,B,20200302,50,20
10.023,B,20200533,50,20
10.023,B,20200542,50,20
10.023,B,20200554,50,20
10.023,B,20200589,50,20
10.023,B,20210010,50,20
10.023,B,20210088,50,20
10.023,B,20210140,50,20
10.023,B,20210189,50,20
10.023,B,20210291,50,20
10.023,B,20210555,50,20
10.023,B,20210587,50,20
10.023,B,20210600,50,20
10.023,B,20210635,50,20
10.023,C,20180264,34,20
10.023,C,20200002,34,20
10.023,C,20200018,34,20
10.023,C,20200562,34,20
10.023,C,20200619,34,20
10.023,C,20200630,34,20
10.023,C,20200637,34,20
10.023,C,20200679,34,20
10.023,C,20210059,34,20
10.023,C,20210161,34,20
10.023,C,20210203,34,20
10.023,C,20210240,34,20
10.023,C,20210259,34,20
10.023,C,20210283,34,20
10.023,C,20210322,34,20
10.023,C,20210438,34,20
10.023,C,20210558,34,20
10.023,C,20210633,34,20
10.023,C,20210653,34,20
10.023,C,20210677,34,20
10.023,D,20200071,30,20
10.023,D,20200113,30,20
10.023,D,20200119,30,20
10.023,D,20200151,30,20
10.023,D,20200278,30,20
10.023,D,20200401,30,20
10.023,D,20200414,30,20
10.023,D,20200458,30,20
10.023,D,20200571,30,20
10.023,D,20200601,30,20
10.023,D,20210049,30,20
10.023,D,20210093,30,20
10.023,D,20210123,30,20
10.023,D,20210125,30,20
10.023,D,20210179,30,20
10.023,D,20210188,30,20
10.023,D,20210225,30,20
10.023,D,20210409,30,20
10.023,D,20210574,30,20
10.023,D,20210575,30,20
10.024,B,20200051,56,20
10.024,B,20200128,56,20
10.024,B,20200167,56,20
10.024,B,20200192,56,20
10.024,B,20200254,56,20
10.024,B,20200318,56,20
10.024,B,20200339,56,20
10.024,B,20200362,56,20
10.024,B,20200457,56,20
10.024,B,20200524,56,20
10.024,B,20200556,56,20
10.024,B,20200587,56,20
10.024,B,20200610,56,20
10.024,B,20200617,56,20
10.024,B,20200704,56,20
10.024,B,20210160,56,20
10.024,B,20210260,56,20
10.024,B,20210444,56,20
10.024,B,20210584,56,20
10.024,B,20210631,56,20
10.024,E,20200048,60,20
10.024,E,20200057,60,20
10.024,E,20200134,60,20
10.024,E,20200258,60,20
10.024,E,20200392,60,20
10.024,E,20200435,60,20
10.024,E,20200451,60,20
10.024,E,20200539,60,20
10.024,E,20200582,60,20
10.024,E,20200591,60,20
10.024,E,20210112,60,20
10.024,E,20210374,60,20
10.024,E,20210437,60,20
10.024,E,20210496,60,20
10.024,E,20210568,60,20
10.024,E,20210569,60,20
10.024,E,20210590,60,20
10.024,E,20210616,60,20
10.024,E,20210655,60,20
10.024,E,20210703,60,20
10.024,F,20180592,49,20
10.024,F,20200041,49,20
10.024,F,20200158,49,20
10.024,F,20200194,49,20
10.024,F,20200229,49,20
10.024,F,20200238,49,20
10.024,F,20200381,49,20
10.024,F,20200487,49,20
10.024,F,20200563,49,20
10.024,F,20200643,49,20
10.024,F,20200664,49,20
10.024,F,20200696,49,20
10.024,F,20200701,49,20
10.024,F,20210183,49,20
10.024,F,20210370,49,20
10.024,F,20210424,49,20
10.024,F,20210430,49,20
10.024,F,20210456,49,20
10.024,F,20210508,49,20
10.024,F,20210668,49,20
10.025,B,20180592,26,20
10.025,B,20200048,26,20
10.025,B,20200151,26,20
10.025,B,20200165,26,20
10.025,B,20200187,26,20
10.025,B,20200258,26,20
10.025,B,20200270,26,20
10.025,B,20200381,26,20
10.025,B,20200392,26,20
10.025,B,20200487,26,20
10.025,B,20200548,26,20
10.025,B,20200571,26,20
10.025,B,20200574,26,20
10.025,B,20200613,26,20
10.025,B,20200619,26,20
10.025,B,20200664,26,20
10.025,B,20200691,26,20
10.025,B,20200699,26,20
10.025,B,20210018,26,20
10.025,B,20210093,26,20
10.025,D,20200194,31,20
10.025,D,20200246,31,20
10.025,D,20200260,31,20
10.025,D,20200279,31,20
10.025,D,20200359,31,20
10.025,D,20200555,31,20
10.025,D,20200567,31,20
10.025,D,20200585,31,20
10.025,D,20200599,31,20
10.025,D,20200601,31,20
10.025,D,20200696,31,20
10.025,D,20200804,31,20
10.025,D,20210157,31,20
10.025,D,20210320,31,20
10.025,D,20210373,31,20
10.025,D,20210428,31,20
10.025,D,20210444,31,20
10.025,D,20210530,31,20
10.025,D,20210584,31,20
10.025,D,20210634,31,20
10.039,A,20150007,91,30
10.039,A,20150233,91,30
10.039,A,20160345,91,30
10.039,A,20160839,91,30
10.039,A,20170168,91,30
10.039,A,20170432,91,30
10.039,A,20170555,91,30
10.039,A,20170700,91,30
10.039,A,20170870,91,30
10.039,A,20180101,91,30
10.039,A,20180106,91,30
10.039,A,20180273,91,30
10.039,A,20180368,91,30
10.039,A,20180641,91,30
10.039,A,20180685,91,30
10.039,A,20180940,91,30
10.039,A,20190083,91,30
10.039,A,20190127,91,30
10.039,A,20190421,91,30
10.039,A,20190492,91,30
10.039,A,20190493,91,30
10.039,A,20190534,91,30
10.039,A,20190573,91,30
10.039,A,20200233,91,30
10.039,A,20200317,91,30
10.039,A,20200435,91,30
10.039,A,20200794,91,30
10.039,A,20210205,91,30
10.039,A,20210278,91,30
10.039,A,20210585,91,30
10.039,B,20140882,40,30
10.039,B,20150126,40,30
10.039,B,20150549,40,30
10.039,B,20160051,40,30
10.039,B,20160557,40,30
10.039,B,20160819,40,30
10.039,B,20170596,40,30
10.039,B,20170808,40,30
10.039,B,20180034,40,30
10.039,B,20180192,40,30
10.039,B,20180213,40,30
10.039,B,20180216,40,30
10.039,B,20180388,40,30
10.039,B,20180397,40,30
10.039,B,20180515,40,30
10.039,B,20180528,40,30
10.039,B,20180570,40,30
10.039,B,20180633,40,30
10.039,B,20190368,40,30
10.039,B,20190869,40,30
10.039,B,20200164,40,30
10.039,B,20200168,40,30
10.039,B,20200256,40,30
10.039,B,20200379,40,30
10.039,B,20200390,40,30
10.039,B,20210129,40,30
10.039,B,20210157,40,30
10.039,B,20210602,40,30
10.039,B,20210609,40,30
10.039,B,20210672,40,30
10.039,C,20150310,39,30
10.039,C,20160671,39,30
10.039,C,20160733,39,30
10.039,C,20170188,39,30
10.039,C,20170261,39,30
10.039,C,20170350,39,30
10.039,C,20170420,39,30
10.039,C,20170428,39,30
10.039,C,20170565,39,30
10.039,C,20170609,39,30
10.039,C,20170731,39,30
10.039,C,20190012,39,30
10.039,C,20190087,39,30
10.039,C,20190331,39,30
10.039,C,20190406,39,30
10.039,C,20190489,39,30
10.039,C,20190559,39,30
10.039,C,20200058,39,30
10.039,C,20200067,39,30
10.039,C,20200086,39,30
10.039,C,20200260,39,30
10.039,C,20200348,39,30
10.039,C,20200392,39,30
10.039,C,20200578,39,30
10.039,C,20200597,39,30
10.039,C,20200660,39,30
10.039,C,20200678,39,30
10.039,C,20210192,39,30
10.039,C,20210232,39,30
10.039,C,20210600,39,30
10.05,A,20140146,42,30
10.05,A,20150735,42,30
10.05,A,20170108,42,30
10.05,A,20170179,42,30
10.05,A,20170274,42,30
10.05,A,20170311,42,30
10.05,A,20170320,42,30
10.05,A,20170555,42,30
10.05,A,20170578,42,30
10.05,A,20170628,42,30
10.05,A,20170708,42,30
10.05,A,20170716,42,30
10.05,A,20170796,42,30
10.05,A,20170851,42,30
10.05,A,20170859,42,30
10.05,A,20170871,42,30
10.05,A,20180300,42,30
10.05,A,20180315,42,30
10.05,A,20180495,42,30
10.05,A,20180522,42,30
10.05,A,20180670,42,30
10.05,A,20180704,42,30
10.05,A,20180844,42,30
10.05,A,20190144,42,30
10.05,A,20190233,42,30
10.05,A,20190272,42,30
10.05,A,20190434,42,30
10.05,A,20190747,42,30
10.05,A,20200510,42,30
10.05,A,20200650,42,30
10.05,B,20140882,34,30
10.05,B,20150123,34,30
10.05,B,20150223,34,30
10.05,B,20150736,34,30
10.05,B,20160058,34,30
10.05,B,20160416,34,30
10.05,B,20160420,34,30
10.05,B,20170055,34,30
10.05,B,20170126,34,30
10.05,B,20170165,34,30
10.05,B,20170257,34,30
10.05,B,20170420,34,30
10.05,B,20170474,34,30
10.05,B,20170538,34,30
10.05,B,20170543,34,30
10.05,B,20170756,34,30
10.05,B,20170784,34,30
10.05,B,20180123,34,30
10.05,B,20180188,34,30
10.05,B,20180273,34,30
10.05,B,20180331,34,30
10.05,B,20180342,34,30
10.05,B,20180395,34,30
10.05,B,20180423,34,30
10.05,B,20180570,34,30
10.05,B,20190162,34,30
10.05,B,20190730,34,30
10.05,B,20190750,34,30
10.05,B,20200553,34,30
10.05,B,20210444,34,30
10.051,A,20150278,144,30
10.051,A,20160207,144,30
10.051,A,20160520,144,30
10.051,A,20170259,144,30
10.051,A,20170735,144,30
10.051,A,20170828,144,30
10.051,A,20170870,144,30
10.051,A,20180215,144,30
10.051,A,20180641,144,30
10.051,A,20180692,144,30
10.051,A,20180693,144,30
10.051,A,20180907,144,30
10.051,A,20180940,144,30
10.051,A,20180942,144,30
10.051,A,20190072,144,30
10.051,A,20190460,144,30
10.051,A,20190678,144,30
10.051,A,20190706,144,30
10.051,A,20200123,144,30
10.051,A,20200159,144,30
10.051,A,20200172,144,30
10.051,A,20200244,144,30
10.051,A,20200364,144,30
10.051,A,20200514,144,30
10.051,A,20200707,144,30
10.051,A,20200724,144,30
10.051,A,20210432,144,30
10.051,A,20210529,144,30
10.051,A,20210532,144,30
10.051,A,20210543,144,30
10.051,B,20150369,124,30
10.051,B,20150507,124,30
10.051,B,20150549,124,30
10.051,B,20150645,124,30
10.051,B,20160058,124,30
10.051,B,20160669,124,30
10.051,B,20170008,124,30
10.051,B,20170141,124,30
10.051,B,20170493,124,30
10.051,B,20170538,124,30
10.051,B,20170543,124,30
10.051,B,20170565,124,30
10.051,B,20170681,124,30
10.051,B,20170686,124,30
10.051,B,20170784,124,30
10.051,B,20180058,124,30
10.051,B,20180066,124,30
10.051,B,20180369,124,30
10.051,B,20180422,124,30
10.051,B,20190226,124,30
10.051,B,20190858,124,30
10.051,B,20200040,124,30
10.051,B,20200169,124,30
10.051,B,20200325,124,30
10.051,B,20200389,124,30
10.051,B,20210043,124,30
10.051,B,20210233,124,30
10.051,B,20210294,124,30
10.051,B,20210379,124,30
10.051,B,20210601,124,30
10.051,C,20130809,143,30
10.051,C,20160294,143,30
10.051,C,20160545,143,30
10.051,C,20160816,143,30
10.051,C,20170012,143,30
10.051,C,20170036,143,30
10.051,C,20170105,143,30
10.051,C,20170215,143,30
10.051,C,20170663,143,30
10.051,C,20170869,143,30
10.051,C,20180034,143,30
10.051,C,20180259,143,30
10.051,C,20180767,143,30
10.051,C,20190121,143,30
10.051,C,20190174,143,30
10.051,C,20190202,143,30
10.051,C,20190241,143,30
10.051,C,20190402,143,30
10.051,C,20190455,143,30
10.051,C,20190493,143,30
10.051,C,20190649,143,30
10.051,C,20190686,143,30
10.051,C,20190786,143,30
10.051,C,20200006,143,30
10.051,C,20210236,143,30
10.051,C,20210251,143,30
10.051,C,20210390,143,30
10.051,C,20210515,143,30
10.051,C,20210570,143,30
10.051,C,20210604,143,30
10.052,A,20160212,396,30
10.052,A,20160669,396,30
10.052,A,20160684,396,30
10.052,A,20160744,396,30
10.052,A,20170365,396,30
10.052,A,20170446,396,30
10.052,A,20170628,396,30
10.052,A,20170848,396,30
10.052,A,20180373,396,30
10.052,A,20180426,396,30
10.052,A,20180533,396,30
10.052,A,20180657,396,30
10.052,A,20180787,396,30
10.052,A,20180854,396,30
10.052,A,20180878,396,30
10.052,A,20180914,396,30
10.052,A,20190006,396,30
10.052,A,20190494,396,30
10.052,A,20190553,396,30
10.052,A,20190554,396,30
10.052,A,20190706,396,30
10.052,A,20190730,396,30
10.052,A,20190793,396,30
10.052,A,20200090,396,30
10.052,A,20200362,396,30
